"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
00-005,"Hello Cello","Hookers House Bourbon","","100",".75L","$48.95","$52.70",
00-009,"Sazerac Co.","John J. Bowman Single Barrel 10Y","010Y","100",".75L","$49.95","$53.70",
00-011,"Brown - Forman","Old Forester 1870 Craft","","90",".75L","$45.95","$49.70",
00-012,"Brown - Forman","Old Forester 1897","","100",".75L","$49.95","$53.70",
00-013,"Brown - Forman","Old Forester 1920","","115",".75L","$59.95","$63.70",
00-014,"Brown - Forman","Old Forester 1910","","93",".75L","$55.95","$59.70",
00-016,"Brown - Forman","Old Forester Statesman","","95",".75L","$55.95","$59.70",
00-018,"Stoli Group USA","Kentucky Owl Confiscated","","96.4",".75L","$134.95","$138.70",
00-019,"Pernod Ricard USA","TX Straight Bourbon","","90",".75L","$39.95","$43.70",
00-022,"Seven Jars Distillery","Ava Gardner Select Bourbon Whiskey","005Y","101",".75L","$64.95","$68.70",
00-026,"Edrington Americas","Wyoming Whiskey Small Batch","","88",".75L","$44.95","$48.70",
00-105,"Infinium Spirits","Templeton 10Y Reserve","010Y","104",".75L","$89.95","$93.70",
00-107,"Pernod Ricard USA","Midleton Barry Crockett","","92",".75L","$279.95","$283.70",
00-111,"Brown - Forman","Jack Daniel's Sinatra","","90","1.00L","$179.95","$184.95",
00-112,"Sazerac/ 375 Park Ave Spirits","LOT 40 Rye","","86",".75L","$39.95","$43.70",
00-119,"Pernod Ricard USA","Redbreast 15Y","015Y","92",".75L","$124.95","$128.70",
00-120,"Brown - Forman","Jack Daniel's No. 27 Gold","","80",".75L","$99.95","$103.70",
00-121,"Remy Cointreau USA","Westland American Single Malt","","92",".75L","$69.95","$73.70",
00-124,"WhistlePig","WhistlePig 15Y","015Y","92",".75L","$274.95","$278.70",
00-126,"Pernod Ricard USA","Midleton Very Rare Irish","","80",".75L","$224.95","$228.70",
00-127,"Pernod Ricard USA","Yellow Spot","012Y","92",".75L","$121.95","$125.70",
00-128,"Park St Imp/ Virginia Distillery","Virginia-Highland Port Cask Whisky","001Y","92",".75L","$49.95","$53.70",
00-130,"Pernod Ricard USA","TX Blended Whiskey","","82",".75L","$32.95","$36.70",
00-131,"Pernod Ricard USA","Smooth Ambler Old Scout Bourbon","","99",".75L","$34.95","$38.70",
00-132,"Park St Imp/ Virginia Distillery","Courage & Conviction","004Y","92",".75L","$74.95","$78.70",
00-136,"Purple Spirits","Redwood Empire Emerald Giant Rye","004Y","90",".75L","$39.95","$43.70",
00-137,"Marussia Beverages USA","Hatozaki Small Batch Japanese Whisky","","92",".75L","$62.95","$66.70",
00-138,"MHW/ Barrel Craft","Barrell Dovetail","","122.9",".75L","$89.95","$93.70",
00-139,"Aiko Importers, Inc","Yamato Special Edition","007Y","98",".75L","$105.95","$109.70",
00-140,"Park St Imp/ Trinity Beverage","Nobushi Japanese Whisky","","80",".75L","$49.95","$53.70",
00-202,"Moet Hennessy","Ardbeg Corryvreckan","","114.2",".75L","$119.95","$123.70",
00-203,"Moet Hennessy","Ardbeg Uigeadail","","108.4",".75L","$89.95","$93.70",
00-204,"Edrington Americas","The Macallan Double Cask 18Y","018Y","86",".75L","$379.95","$383.70",
00-209,"Moet Hennessy","Glenmorangie Signet S.M.","","92",".75L","$199.95","$203.70",
00-211,"Moet Hennessy","Glenmorangie Non Age Nectar D'Or","","92",".75L","$74.95","$78.70",
00-214,"Edrington Americas","Highland Park 18Y","018Y","86",".75L","$164.95","$168.70",
00-215,"Brown - Forman","Glendronach 12Y S.M.","012Y","86",".75L","$69.95","$73.70",
00-217,"Beam Suntory","Auchentoshan Three Wood","","86",".75L","$89.95","$93.70",
00-218,"Remy Cointreau USA","Bruichladdich Port Charlotte 10Y","010Y","100",".75L","$69.95","$73.70",
00-219,"Remy Cointreau USA","Bruichladdich Scottish Barley","","100",".75L","$59.95","$63.70",
00-221,"Brown - Forman","Ben Riach 10Y","010Y","86",".75L","$59.95","$63.70",
00-222,"Remy Cointreau USA","Bruichladdich Islay Barley","","100",".75L","$69.95","$73.70",
00-225,"Edrington Americas","The Macallan Rare Cask","","86",".75L","$359.95","$363.70",
00-226,"Pernod Ricard USA","Aberlour A'Bunadh","","119.4",".75L","$99.95","$103.70",
00-227,"E & J Gallo Winery","The Dalmore 15Y","","80",".75L","$135.95","$139.70",
00-229,"E & J Gallo Winery","The Dalmore Port Wood Reserve","","93",".75L","$99.95","$103.70",
00-231,"E & J Gallo Winery","The Dalmore Cigar Malt Reserve","","88",".75L","$199.95","$203.70",
00-233,"USDP / Phillips","Tomatin 18Y","018Y","92",".75L","$99.95","$103.70",
00-237,"Brown - Forman","GlenDronach 15Y Revival","015Y","92",".75L","$99.95","$103.70",
00-304,"Mother Earth Brewing","NC Mother Earth Barrel Rested Gin","006M","80",".75L","$38.95","$42.70",
00-305,"Pernod Ricard USA","Monkey 47","","94","1.00L","$64.95","$69.95",
00-411,"Proximo Spirits","Hangar One Straight","","80",".75L","$29.95","$33.70",
00-412,"Proximo Spirits","Hangar One Mandarin","","80",".75L","$29.95","$33.70",
00-604,"Edrington Americas","Brugal 1888","","86",".75L","$39.95","$43.70",
00-613,"Serralles USA","Don Q Reserva XO","009Y","80",".75L","$50.75","$54.50",
00-654,"Moet Hennessy","Hennessy Paradis","","80",".75L","$1,099.95","$1,103.70",
00-659,"Bacardi USA","D'Usse XO Cognac","","80",".75L","$199.95","$203.70",
00-663,"Associated Brewing","Davidoff XO Cognac w/Box","","80",".75L","$189.95","$193.70",
00-668,"Remy Cointreau USA","Remy Martin Tercet","","84",".75L","$129.95","$133.70",
00-703,"Campari America","Grand Marnier 100Y","100Y","80",".75L","$199.95","$203.70",
00-707,"Proximo Spirits","Agavero Orange Tequila Liqueur","","64",".75L","$21.95","$25.70",
00-708,"Frederick Wildman & Sons","Chartreuse Yellow","","86",".75L","$60.55","$64.30",
00-710,"Campari America","Cynar","","33","1.00L","$37.95","$42.95",
00-713,"Campari America","Grand Marnier Cuvee 1880","","80",".75L","$349.95","$353.70",
00-715,"Disaronno International","Zucca Rabarbaro","","60",".75L","$30.75","$34.50",
00-805,"Shaw-Ross International","Santo Mezquila Puro","","80",".75L","$55.95","$59.70",
00-806,"Shaw-Ross International","Santo Fino Reposado","","80",".75L","$47.95","$51.70",
00-807,"Marsalle/Stoller Imports","Adictivo Extra Anejo","007Y","80",".75L","$99.95","$103.70",
00-810,"Proximo Spirits","Jose Cuervo Reserva de Familia","","80",".75L","$189.95","$193.70",
00-820,"Park St Imp/ Samson & Surrey","Mezcal Vago Elote","","102",".75L","$57.85","$61.60",
00-823,"Bacardi USA","Patron Reposado","","80","1.75L","$119.95","$128.70",
00-824,"Bacardi USA","Patron Anejo","","80","1.75L","$129.95","$138.70",
00-825,"Sazerac Co.","Los Vecinos Mezcal","","90",".75L","$33.95","$37.70",
00-826,"Bacardi USA","Gran Patron Smoky","","101",".75L","$214.95","$218.70",
00-827,"MHW/ Casa Dragones","Casa Dragones 16 Joven Tequila","","80",".75L","$284.95","$288.70",
00-832,"Global Beverage Team LLC","Azteca Azul Plata","","80",".75L","$24.95","$28.70",
00-833,"Marsalle/Stoller Imports","Adictivo Extra Anejo Cristalino","007Y","80",".75L","$109.95","$113.70",
00-901,"Aiko Importers, Inc","Hemosu Pine Forest Soju","","80",".75L","$58.10","$61.85",
19-312,"Bardstown Bourbon Company","Bardstown Bourbon Co. Discovery Series","","115",".75L","$134.95","$138.70",
19-313,"Bardstown Bourbon Company","American Highway","","96",".75L","$104.95","$108.70",
19-314,"Beam Suntory","Knob Creek Rye W/ Jigger","","100",".75L","$39.95","$43.70",
19-315,"William Grant & Sons","Hendrick's Neptunia Gin","","86.8",".75L","$39.95","$43.70",
19-316,"Sagamore Spirit","Sagamore Double Oak Rye","006Y","96.6",".75L","$59.95","$63.70",
19-317,"Sazerac Co.","Weller Special Reserve (BTB)","","90",".75L","$29.95","$33.70",
19-318,"Sazerac Co.","Stagg Jr. (BTB)","","128.7",".75L","$49.95","$53.70",
19-319,"Sazerac Co.","Eagle Rare (BTB)","","90",".75L","$39.95","$43.70",
19-320,"Sazerac Co.","Buffalo Trace (BTB)","","90",".75L","$29.95","$33.70",
19-321,"Sazerac Co.","Blanton's (BTB)","","93",".75L","$59.95","$63.70",
19-322,"Sazerac Co.","1792 Single Barrel (BTB)","","98.6",".75L","$39.95","$43.70",
19-323,"MHW/ Barrel Craft","Barrell Craft Gray Label Seagrass","","130.82",".75L","$249.95","$253.70",
19-324,"MHW/ Barrel Craft","Barrell Craft Gold Label Bourbon","","113.54",".75L","$499.95","$503.70",
19-325,"Diageo NA","Royal Lochnagar 16YR","016Y","115",".75L","$249.95","$253.70",
19-326,"Diageo NA","Talisker 8YR","008Y","119.4",".75L","$114.95","$118.70",
19-327,"Diageo NA","Singleton of Glendullan 19YR","019Y","109.4",".75L","$174.95","$178.70",
19-328,"Diageo NA","Oban 12YR","012Y","112.4",".75L","$114.95","$118.70",
19-329,"Diageo NA","Mortlach 13YR","013Y","111.8",".75L","$124.95","$128.70",
19-330,"Diageo NA","Lagavulin 26YR","026Y","88.4",".75L","$2,399.95","$2,403.70",
19-331,"Diageo NA","Lagavulin 12YR","012Y","113",".75L","$149.95","$153.70",
19-332,"Diageo NA","Cardhu 14YR","014Y","111",".75L","$149.95","$153.70",
19-333,"Heaven Hill","Heaven Hill Heritage Collection 1st  Edition","017Y","118.2",".75L","$274.95","$278.70",
19-334,"Tequilas Premium","Clase Azul Gold Joven","","80",".75L","$299.95","$303.70",
19-335,"Diageo NA","Capt. Morgan Orig Spiced Rum W/ NFL Ice Mold","","70","1.75L","$26.95","$35.70",
19-336,"Moet Hennessy","Woodinville Straight Rye Whiskey","MANY","90",".75L","$41.95","$45.70",
19-338,"Hawaii Sea Spirits","Ocean Vodka","","80","50ML","$4.95","$5.20",
19-339,"Fetzer Vineyards","Peerless Small Batch Bourbon","MANY","108.3",".75L","$70.35","$74.10",
19-340,"Chatham Imports","Michter's Sour Mash Whiskey","MANY","86",".75L","$43.25","$47.00",
19-341,"Beam Suntory","Hibiki Harmony Ryusui-Hyakka Tribute LTO","MANY","86",".75L","$125.95","$129.70",
19-342,"Edrington Americas","Macallan The Harmony collection-Rich Cacao","","88",".75L","$159.95","$163.70",
19-343,"The Cooper Spirits Co.","Lock Stock & Barrel 21 Yr","021Y","111",".75L","$499.95","$503.70",
19-344,"The Cooper Spirits Co.","Lock Stock & Barrel Vatted Straight Rye","","100",".75L","$79.95","$83.70",
19-345,"Bacardi USA","Teeling Pot Still","","92",".75L","$64.95","$68.70",
19-346,"Bacardi USA","Stillhouse Black Bourbon Daytona 500- Limited Ed","","80",".75L","$24.95","$28.70",
19-347,"Sazerac/ 375 Park Ave Spirits","Van Gogh Double Espresso","","70","50ML","$0.95","$1.20",
19-348,"MHW/ Sweet Amber Ventures","Blackened American Whiskey","","90",".375L","$26.95","$28.83",
19-351,"Pernod Ricard USA","Jefferson's Rye Cognac Single Barrel (BTB)","","94",".75L","$71.95","$75.70",
19-352,"Stoli Group USA","Elit Eighteen Night Edition","","80","1.00L","$49.95","$54.95",
19-353,"Altamar Brands LLC","Foursquare Indelible","011Y","96",".75L","$79.95","$83.70",
19-354,"Aiko Importers, Inc","Yamato Samurai Edition","005Y","80",".75L","$69.95","$73.70",
19-356,"Shaw-Ross International","Pusser's British Navy 1L","","84","1.00L","$25.95","$30.95",
19-357,"Park St Imp/ Samson & Surrey","Widow Jane The Vaults 2021 Release","015Y","99",".75L","$225.00","$228.75",
19-358,"Park St Imp/ Samson & Surrey","Widow Jane Lucky 13 Small Batch Bourbon","","93",".75L","$99.95","$103.70",
19-359,"Park St Imp/ Samson & Surrey","Widow Jane Decadence","010Y","91",".75L","$89.95","$93.70",
19-360,"Diageo NA","Orphan Barrel - Muckety Muck 25YR","025Y","91",".75L","$249.95","$253.70",
19-361,"Altamar Brands LLC","High N' Wicked THE WILD ROVER","","122",".75L","$149.95","$153.70",
19-362,"Beam Suntory","Jim Beam Orange PET","","65","1.75L","$31.95","$40.70",
19-363,"Beam Suntory","Jim Beam Red Stag PET","","65","1.75L","$31.95","$40.70",
19-364,"Beam Suntory","Jim Beam Vanilla PET","","65","1.75L","$31.95","$40.70",
19-365,"Beam Suntory","Jim Beam Peach PET","","65","1.75L","$31.95","$40.70",
19-366,"Beam Suntory","Jim Beam Honey PET","","65","1.75L","$31.95","$40.70",
19-367,"Beam Suntory","Jim Beam Apple PET","","65","1.75L","$31.95","$40.70",
19-370,"Western Spirits Bev Co.","Bird Dog Salted Caramel","","80",".75L","$18.95","$22.70",
19-371,"Tequilas Premium","Clase Azul Plata","","80",".75L","$129.95","$133.70",
19-372,"Beam Suntory","Little Book Chapter 5 "The Invitation"","","116",".75L","$124.95","$128.70",
19-373,"Beam Suntory","Maker's Mark Wood Finishing Series FAE 2","","109",".75L","$59.95","$63.70",
19-374,"Moet Hennessy","Glenmorangie Grand Vintage 1997","","86",".75L","$824.95","$828.70",
19-375,"Moet Hennessy","Glenmorangie Tale of Winter GB","","92",".75L","$99.95","$103.70",
19-376,"Moet Hennessy","Hennessy VS Les Twins LE 2021","","80",".75L","$44.95","$48.70",
19-377,"Associated Brewing","The Whistler Double Oaked VAP","004Y","80",".75L","$29.95","$33.70",
19-378,"Diageo NA","Ciroc Pomegranate","","70",".75L","$29.95","$33.70",
19-379,"American Spirits Exchange","Pinhook Bourbon (Vertical Series)","006Y","107",".75L","$59.05","$62.80",
19-380,"American Spirits Exchange","Pinhook Bourbon (True Single Barrel)","006Y","114",".75L","$75.85","$79.60",
19-382,"Luxco","Blood Oath Trilogy Second Edition","","98.6","2.25L","$699.95","$711.20",
19-383,"Old Elk Distillery","Old Elk Infinity Blend- 2021","006Y","110",".75L","$149.95","$153.70",
19-384,"Old Elk Distillery","Old Elk Bourbon Cognac Cask Finish","005Y","108",".75L","$89.95","$93.70",
19-385,"Old Elk Distillery","Old Elk Bourbon Armagnac Cask Finish","005Y","108",".75L","$89.95","$93.70",
19-386,"Old Elk Distillery","Old Elk Tawny Port Cask Finish","006Y","110",".75L","$89.95","$93.70",
19-387,"Old Elk Distillery","Old Elk Oloroso Sherry Cask Finish","006Y","110",".75L","$89.95","$93.70",
19-388,"MHW/ Sweet Amber Ventures","Blackened X Willett","","107.9",".75L","$139.95","$143.70",
19-390,"Diageo NA","Don Julio 1942 Ultima Reserva","","80",".75L","$399.95","$403.70",
19-391,"Diageo NA","Don Julio Reposado Primavera","","80",".75L","$149.95","$153.70",
19-396,"Park St Imp/ Ilegal","Ilegal Joven VAP","013M","80",".75L","$39.95","$43.70",
19-398,"Altamar Brands LLC","Foursquare 2009 Rum","012Y","120",".75L","$94.95","$98.70",
19-399,"Sazerac/ 375 Park Ave Spirits","Glen Moray Port Cask w/ GLS","","80",".75L","$32.95","$36.70",
19-400,"Sazerac/ 375 Park Ave Spirits","Glen Moray Elgin Classic w/ GLS","","80",".75L","$32.95","$36.70",
19-410,"Trinchero Family Estates","Amador D. B. Cabernet Barrel Finish","003Y","90",".75L","$56.00","$59.75",
19-411,"Campari America","Russell's Reserve 13Y","013Y","114.8",".75L","$69.95","$73.70",
19-420,"Diageo NA","Ciroc W/ 2 GLS","","80",".75L","$29.95","$33.70",
19-421,"Diageo NA","Smirnoff 80 w/ 50ML","","80","1.75L","$20.95","$29.70",
19-422,"Aiko Importers, Inc","Yamato Takeda Edition","008Y","92",".75L","$149.95","$153.70",
19-423,"Aiko Importers, Inc","H Deringer Bourbon Whiskey VAP","005Y","92",".75L","$99.95","$103.70",
